Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Zodiac Aerospace,ZC, France,Plaisir,"February 14, 2017",,(1),1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,Quality ,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",,,,,,More than 5 years,,,This place is Barely hanging on by thread. It's ran by the inmates in the insane asylum. This place has ruined zodiac and will now ruin safran who just bought them out. If I was safran I would pick up the location and move it to a different location. Middle tier management which never leaves is your quintessential good ole boy club. The silos here are awful. The worst I've ever seen in 20 years of aviation.,"Everything is a con. I'm surprised any seats get out the door. Think rednecks, cousins, nepotism, aunts and uncles. It's a inbred love affair of mediocreness. Please do not waste your time. If the FAA really looked they would close the place down",Run away! If you aren't local you will not understand. This is why all the management turns over every few years. It's like clockwork.
Zodiac Aerospace,ZC, France,Plaisir,"August 21, 2014",,(5),3.0,3.0,2.0,,3.0,1.0,2.0,,Current,,,, Too Many to List,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,More than 3 years,,,,Very flexible schedule if time off is needed Almost everyone is friendly and fun to work worth (2) state mandated 15 minute breaks are nice If you kiss butt you have a chance to go far in the company. The useless tend to thrive here. Its also beneficial if you are a 'YES' man/woman Turnover is VERY high (good chance to take your Captain's spot if he gets shot in battle)  ... This is tougher then I thought,"Now for the easy part...  Management is not that bright and they make decisions based on political gain versus rational choices.  Average years of experience in Engineering is less then 3. This goes for Engineers in management/leadership positions too.  Many rules/regulations/new procedures get put into effect and are immediately changed by the same people that created them. Because of this almost no one follows any rules.  You are no longer allowed to play ANY sports during any break period. Now those people just smoke outside.  75% of the Engineers have no soul and only smile/talk when forced.  MANY people in upper management positions speak openly about wanting to get out of the company and start looking for a different job.  Zodiac Seats France has taken over ALL upper management positions so the company is making changes for something that worked in a different realm of supplied product. It is not working here and most likely wont for years to come  Nearly anyone can get hired here - Individuals are not properly filtered during the hiring process (see title of review)  Pay is low for industry standard and work amount is very high - overtime almost mandatory with no rewards other than ""Work more and faster"".  ALL perks have been discontinued due to poor delivery schedule and quality of all products  Employee moral is in the negative  Turnover is VERY high (also a positive)",Think outside the box and learn to say NO to your managers. Saying yes to everything doesnt solve issues. Stop promoting those who do nothing worthy of a promotion. Everyone sees it and cant stand it. Remember to take care of the employees that you manage. Without them you wont have a job. Many people have already left and many more on already on their way out. Contractors.... really? Laugh
Zodiac Aerospace,ZC, France,Plaisir,"March 31, 2015",,,4.0,3.0,3.0,,4.0,4.0,4.0,,,,,,Purchas,"Recommends, Positive Outlook, Approves of CEO",,,,,,,,,Great opportunity to grow and advance in career. Management is interested in sharing ideas for process improvement.,A lot of turnover and lack of communication in company strategic goals,Have a monthly meeting with all staff to share where the company is heading for growth and challenges ahead.
Zodiac Aerospace,ZC, France,Plaisir,"July 30, 2016",,(5),3.0,4.0,2.0,,2.0,2.0,1.0,Former,,,,, Design Engineer II,"Recommends, Negative Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,"There's a great deal of flexibility regarding your schedule if you're on good terms with your supervisor. Nothing like a 4/10 or 9/80, but you can negotiate to leave earlier on some days if you have to go take care of family matters, etc. Just make sure you make up the hours. Most of the people you work with are awesome people. I don't think I would have lasted as long there had it not been for them.","We're owned by a French company that doesn't seem to care about anything except turning a profit. They believe the end justifies the means and as long as it looks like we're making money on paper, it doesn't matter how that's achieved. Most of their business decisions leave us in a worse state than before. Removing quality engineers while expecting fewer rejections, outsourcing production and engineering, and agreeing to unreasonable engineering specs. It's a common feature of companies that are too big and whose leaders lose touch with the product. They only care about improving their results before their next career jump. It sucks for everyone else underneath them. My managers are genuinely great people. They have experience and knowledge. They are capable of leading the team and producing excellent results. Unfortunately, through all the damage that corporate has caused, our managers have been severely limited. They have no power to do their job the way they want to.","This is to the VPs and corporate level people. I understand you live a different life and associate with the wealthier crowd. Your yachts and mansions are more important to you than creating something of true value. When all you seek is to please the share holders so you can get your bonuses, you gut the company. Zodiac Aerospace can be such a huge powerhouse in the industry. We can be 10 times more successful if you had the vision for it. Set up realistic long term goals and invest in the company. It'll pay off greater dividends than whatever you're getting now. Pay your people what they deserve and keep the product in-house. Actually honor your commitments to our customers and don't drop quality just because you think you can shave off a little more profit in the short term. And for goodness' sake, make the work place safer. I see production people sanding in a closed environment without proper masks. All that dust they're breathing in is not healthy. I don't feel any better about it given that engineers also breath some of that in."
Zodiac Aerospace,ZC, France,Plaisir,"June 2, 2017",,,4.0,4.0,4.0,,4.0,4.0,4.0,Former,,,,, IT Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,The work environment was very nice. The people were generally very professional and friendly. The work was challenging and new projects were relatively constant. Salary and benefits were great.,"There were some long days and occasional weekends, especially for projects requiring the company to be offline or systems down.",None
Zodiac Aerospace,ZC, France,Plaisir,"January 8, 2015",,,4.0,4.0,4.0,,3.0,4.0,3.0,,,,,,Assembly L,"Recommends, Neutral Outlook, No opinion of CEO",,,,,,,,,"Good pay, lots of overtime, good co-workers, good work environment. Lots of really good people to spend your day working with.",Bad management. Sometimes they don't have enough work. Sometimes they require a lot of work to be done in a short amount of time.,Get with it.
Zodiac Aerospace,ZC, France,Plaisir,"April 15, 2017",,(3),2.0,3.0,1.0,,2.0,1.0,1.0,Former,,,,, Anonymous Employee,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,,,,,"The work itself wasn't too bad. Most of the people who worked here were awesome. Schedule was nice, 4 days 9 hours and then 5 days 9 hours.",The management here was lacking. Will fire you super quick if you even look at your supervisor the wrong way. Starting pay is minimum wage with little hope of getting raises. And of course you do have a handful of employees here who will run to the supervisor if you even make a tiny mistake. This is a decent job if your looking for temp work but don't stay here more than 1 year.,Invest more in your employees.
Zodiac Aerospace,ZC, France,Plaisir,"September 12, 2017",,,5.0,5.0,5.0,,5.0,5.0,5.0,,,,,, Recommends,"Positive Outlook, Approves of CEO",,,,,,,,,Great opportunity to learn. Plenty of room to grow as an individual or in a team atmosphere. Exciting challenges with great people to tackle them with.,Not really any cons. Maybe some more facility wide events. The more we interact with one another I believe we grow stronger as a team.,None
Zodiac Aerospace,ZC, France,Plaisir,"May 16, 2014",,,5.0,,,,,,,Former,,,Contractor,, Mechanical Design Drafter,"Recommends, Neutral Outlook, No opinion of CEO",,,less than a year,,,,,,I worked as a contract in a short period of time and people are friendly,"Working along side with project engineering redesigned interior of aircraft such as monument, foot-step, windows using CATIA V5 Design",None
Zodiac Aerospace,ZC, France,Plaisir,"December 30, 2016",,,4.0,4.0,3.0,,3.0,4.0,3.0,,,,,,Pack,"Recommends, Neutral Outlook, No opinion of CEO",,,,,,,,,Constant work with an earlier schedule than other companies. Company is expanding into more areas and is world wide as well,Waiting on others to complete their work in order for you to work. Days get slow and spend good portion of time waiting on others,None
