Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Zebra Technologies,ZBRA, IL,Lincolnshire,"January 1, 2018",,,5.0,5.0,5.0,,5.0,4.0,5.0,,Current,,,, Anonymous Employee ,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Healthy Environment Work balance is good You will be recognized for your work,Till now i haven't found anything negative,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 21, 2018",,,4.0,3.0,4.0,,3.0,4.0,4.0,,,,,,Tech Architect ,"Recommends, Positive Outlook, Approves of CEO",,,,,,More than 5 years,,,"Good working env, You get recognized as per your work",You may get stick to this job,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"May 29, 2018",,,4.0,3.0,4.0,,4.0,3.0,5.0,Former,,,Contractor,, CSNT,"Recommends, Positive Outlook, Approves of CEO",,,less than a year,,,,,,A lot to learn for the process. really good for fresh grads,we have to manage our work life balance,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"June 9, 2018",,,4.0,4.0,2.0,,3.0,2.0,2.0,,Current,,,, Technical Support Engineer ,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,More than 8 years,,"Good for Job starters, Young people,","Functional Structure, Complicated processes, Leadership",Listen more to Feedback from employees
Zebra Technologies,ZBRA, IL,Lincolnshire,"June 20, 2018",,,4.0,4.0,4.0,,3.0,4.0,4.0,Former,,,,, IT Systems Engineer,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,More than 10 years,Good friendly and open to place work,Unable to recognise valuable talent,develop locality and recognise talent
Zebra Technologies,ZBRA, IL,Lincolnshire,"June 16, 2015",,,4.0,5.0,3.0,,3.0,3.0,4.0,Former,,,,, Anonymous Employee,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Close knit with colleagues and the management dont pressure you that much.,Different benefits for different country,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"August 30, 2017",,,4.0,4.0,4.0,,4.0,4.0,4.0,,Current,,Contractor,, Anonymous Contractor ,"Recommends, Positive Outlook, Approves of CEO",,,,,,,,,- Great team that is extremely supportive,- Slightly confused about company identity since Motorola acquisition.,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"June 1, 2012",,,5.0,5.0,4.0,,1.0,5.0,4.0,,,,,, Recommends,"Neutral Outlook, Approves of CEO",,,,,More than 3 years,,,,"Great products, Competitive Salary, great co-workers",There is not an opportunity to advance in the company,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"September 5, 2017",,,5.0,5.0,4.0,,3.0,5.0,4.0,Former,,,,, Sales Manager,"Recommends, Neutral Outlook, Approves of CEO",full time,,,,,,,,Growing and well managed company,Competitive environment make sometimes life difficult,Keep on
Zebra Technologies,ZBRA, IL,Lincolnshire,"November 27, 2017",,,5.0,3.0,,,3.0,3.0,3.0,,,,,,Employee,NULL,,,,,,,,,working from home full time,management  training  certification  no perspective for evolution,more training
Zebra Technologies,ZBRA, IL,Lincolnshire,"December 13, 2017",,,4.0,,,,,,,,,,,,Employee,NULL,,,,,,,,,Multiple engineering fields are included,Limited projects and limited products,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"January 7, 2015",,,4.0,4.0,3.0,,1.0,1.0,4.0,,Current,,,, Customer Operations,"Recommends, Positive Outlook",full time,,,More than a year,,,,,life work balance good environment life work balance good environment,lack of benefits lack of career advancement,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"February 24, 2017",,,4.0,,,,,,,,Current,,,, Anonymous Employee ,NULL,full time,,,,,,,,you can get things done,"$ conscious, not always risk takers",None
Zebra Technologies,ZBRA, IL,Lincolnshire,"October 18, 2017",,,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,Customer Service Representative ,"Recommends, Neutral Outlook, No opinion of CEO",,,less than a year,,,,,,great job atmosphere very nice offices.,Very long hiring process.,no
Zebra Technologies,ZBRA, IL,Lincolnshire,"February 14, 2016",,,4.0,,,,,,,Former,,,,, Anonymous Employee ,NULL,,part time,,,,,,,Great Company with Great Stuff,Not Bad Company with Great Stuff,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 16, 2016",,,4.0,5.0,4.0,,4.0,3.0,4.0,,Current,,Contractor,, Anonymous Contractor,Recommends,,,less than a year,,,,,,no work pressure till now,learning is less in here,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"January 4, 2017",,,4.0,,,,,,,,Current,,,, Senior Manager Finance,"Recommends, Approves of CEO",full time,,,,,More than 5 years,,,Great Team to Work with,"No advancement, stagnant, little motivation",None
Zebra Technologies,ZBRA, IL,Lincolnshire,"June 12, 2017",,,3.0,3.0,4.0,,5.0,3.0,3.0,,Current,,,, Lead Engineer,"Recommends, Approves of CEO",full time,,less than a year,,,,,,on Par pay ... feasibility to gain tax benefits. Yearly bonus Chance to work on nice projects .There are so many good project they work on. Work life balance Nice people to work with.,Old traditional way of doing things not up to the mark  Less process oriented  Bad HR and policies  NO perks,Please pay attention to standard of work ...Stop traditional way of coding and doing work . The processes should be revampled
Zebra Technologies,ZBRA, IL,Lincolnshire,"August 30, 2017",,(1),3.0,2.0,4.0,,3.0,4.0,3.0,,Current,,,, Anonymous Employee,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Easy work No need for previous experience in the field Flexible working hours Young coworkers,"Work can get monotonous after a while. At the end of each month you work one day overtime to gain as much revenue as possible Hard to move to another position to different department or to advance in your career Understaffed, a lot of newcomers",Value the skilled and willing employees and keep to your word.
Zebra Technologies,ZBRA, IL,Lincolnshire,"July 29, 2014",,,3.0,,,,,,,Former,,,,, Business Analyst ,NULL,full time,,,,More than 3 years,,,,This company offers the employees with the chance of global exposure and also promote the open door policy. Employees are free to express their views without worry of anything.,Training for the new hires may needs to be improved as there is no proper structure for the new hire to connect themselves with the company.,Allow more empowerment and provide creative at work.
Zebra Technologies,ZBRA, IL,Lincolnshire,"February 13, 2018",,(3),3.0,5.0,4.0,,4.0,4.0,4.0,Former,,,,, Anonymous Employee,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,"Great and trusted product ranges, strong partner channel, good reference sites","Become too big so full of politics, nepotism, us and them mentality with acquisition of motorola, disconnect between business european needs and US HQ",Letting the good people go is usually not a good thing.
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 29, 2016",,,3.0,3.0,3.0,,3.0,2.0,2.0,,Current,,,, Anonymous Employee ,"Recommends, Positive Outlook, No opinion of CEO",full time,,,,,,,More than 10 years,"If you are inclined to learn, you will grow. Work env is good, work content is better than competitors. Great work life balance for engineers.","No brand presence or recall, company needs to spend more on its employees, give better salaries and merit raises.",Have a clear vision
Zebra Technologies,ZBRA, IL,Lincolnshire,"December 16, 2017",,(1),1.0,5.0,2.0,,1.0,1.0,1.0,,Current,,Contractor,, Senior Software Engineer,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",,,,More than a year,,,,,1) Package is high  2) Flexible work but only for permanent 3) Lot of contractors,"1) Lots of politics for the stale Work,assignements from US and offshore.  An lot of stale work from onsite especially US team comes to Bangalore especially in Kernel technologies. 2) Zero appreciation and motivation for offshore 3) Lot of indifference between contractor and Permanent and politics related to work, zero appreciation and motivation. 4) Very old and outdated technologies used in Projects",Please stop politics and concentrate on company growth.
