Company_Name,Ticker,Overview,Review
Hikma,HIK,"https://www.glassdoor.com/Overview/Working-at-Hikma-EI_IE40694.11,16.htm",https://www.glassdoor.com/Reviews/Hikma-Reviews-E40694.htm
Catalent Pharma,CTLT,"https://www.glassdoor.com/Overview/Working-at-Catalent-Pharma-EI_IE43266.11,26.htm",https://www.glassdoor.com/Reviews/Catalent-Pharma-Reviews-E43266.htm
Orbital Sciences,ORB,"https://www.glassdoor.com/Overview/Working-at-Orbital-Sciences-EI_IE1285.11,27.htm",https://www.glassdoor.com/Reviews/Orbital-Sciences-Reviews-E1285.htm
Univar Solutions,UNVR,"https://www.glassdoor.com/Overview/Working-at-Univar-Solutions-EI_IE14183.11,27.htm",https://www.glassdoor.com/Reviews/Univar-Solutions-Reviews-E14183.htm
Genuine Parts Company,GPC,"https://www.glassdoor.com/Overview/Working-at-Genuine-Parts-Company-EI_IE282.11,32.htm",https://www.glassdoor.com/Reviews/Genuine-Parts-Company-Reviews-E282.htm
Christopher & Banks,CBK,"https://www.glassdoor.com/Overview/Working-at-Christopher-and-Banks-EI_IE287.11,32.htm",https://www.glassdoor.com/Reviews/Christopher-and-Banks-Reviews-E287.htm
Spectrum Brands,SPB ,"https://www.glassdoor.com/Overview/Working-at-Spectrum-Brands-EI_IE3347.11,26.htm",https://www.glassdoor.com/Reviews/Spectrum-Brands-Reviews-E3347.htm
Swift Transportation,SWFT,"https://www.glassdoor.com/Overview/Working-at-Swift-Transportation-EI_IE2065.11,31.htm",https://www.glassdoor.com/Reviews/Swift-Transportation-Reviews-E2065.htm
Scholastic,SCHL,"https://www.glassdoor.com/Overview/Working-at-Scholastic-EI_IE2142.11,21.htm",https://www.glassdoor.com/Reviews/Scholastic-Reviews-E2142.htm
Kona Grill,KONA,"https://www.glassdoor.com/Overview/Working-at-Kona-Grill-EI_IE38469.11,21.htm",https://www.glassdoor.com/Reviews/Kona-Grill-Reviews-E38469.htm
Brenntag,BNR.DE,"https://www.glassdoor.com/Overview/Working-at-Brenntag-EI_IE40096.11,19.htm",https://www.glassdoor.com/Reviews/Brenntag-Reviews-E40096.htm
Cooper Standard,CPS,"https://www.glassdoor.com/Overview/Working-at-Cooper-Standard-EI_IE13563.11,26.htm",https://www.glassdoor.com/Reviews/Cooper-Standard-Reviews-E13563.htm
Parsons Corporation,PSN,"https://www.glassdoor.com/Overview/Working-at-Parsons-Corporation-EI_IE4006.11,30.htm",https://www.glassdoor.com/Reviews/Parsons-Corporation-Reviews-E4006.htm
Extended Stay America,STAY,"https://www.glassdoor.com/Overview/Working-at-Extended-Stay-America-EI_IE414944.11,32.htm",https://www.glassdoor.com/Reviews/Extended-Stay-America-Reviews-E414944.htm
SunTrust,STI,"https://www.glassdoor.com/Overview/Working-at-SunTrust-EI_IE631.11,19.htm",https://www.glassdoor.com/Reviews/SunTrust-Reviews-E631.htm
The Cheesecake Factory,CAKE,"https://www.glassdoor.com/Overview/Working-at-The-Cheesecake-Factory-EI_IE2229.11,33.htm",https://www.glassdoor.com/Reviews/The-Cheesecake-Factory-Reviews-E2229.htm
Encore Capital Group,ECPG,"https://www.glassdoor.com/Overview/Working-at-Encore-Capital-Group-EI_IE9296.11,31.htm",https://www.glassdoor.com/Reviews/Encore-Capital-Group-Reviews-E9296.htm
Republic Airways,RJET,"https://www.glassdoor.com/Overview/Working-at-Republic-Airways-EI_IE14916.11,27.htm",https://www.glassdoor.com/Reviews/Republic-Airways-Reviews-E14916.htm
Everest Re Group,RE,"https://www.glassdoor.com/Overview/Working-at-Everest-Re-Group-EI_IE18435.11,27.htm",https://www.glassdoor.com/Reviews/Everest-Re-Group-Reviews-E18435.htm
Marten Transport,MRTN,"https://www.glassdoor.com/Overview/Working-at-Marten-Transport-EI_IE1621.11,27.htm",https://www.glassdoor.com/Reviews/Marten-Transport-Reviews-E1621.htm
TrueBlue,TBI,"https://www.glassdoor.com/Overview/Working-at-TrueBlue-EI_IE6113.11,19.htm",https://www.glassdoor.com/Reviews/TrueBlue-Reviews-E6113.htm
Wabtec,WAB,"https://www.glassdoor.com/Overview/Working-at-Wabtec-EI_IE363475.11,17.htm",https://www.glassdoor.com/Reviews/Wabtec-Reviews-E363475.htm
ArcelorMittal USA,MT,"https://www.glassdoor.com/Overview/Working-at-ArcelorMittal-USA-EI_IE38124.11,28.htm",https://www.glassdoor.com/Reviews/ArcelorMittal-USA-Reviews-E38124.htm
Black Knight,BKFS,"https://www.glassdoor.com/Overview/Working-at-Black-Knight-EI_IE767011.11,23.htm",https://www.glassdoor.com/Reviews/Black-Knight-Reviews-E767011.htm
Finisar,FNSR,"https://www.glassdoor.com/Overview/Working-at-Finisar-EI_IE9446.11,18.htm",https://www.glassdoor.com/Reviews/Finisar-Reviews-E9446.htm
Cymer,ASML,"https://www.glassdoor.com/Overview/Working-at-Cymer-EI_IE6222.11,16.htm",https://www.glassdoor.com/Reviews/Cymer-Reviews-E6222.htm
Ted Baker London,TBK,"https://www.glassdoor.com/Overview/Working-at-Ted-Baker-London-EI_IE13015.11,27.htm",https://www.glassdoor.com/Reviews/Ted-Baker-London-Reviews-E13015.htm
Core-Mark,CORE,"https://www.glassdoor.com/Overview/Working-at-Core-Mark-EI_IE3671.11,20.htm",https://www.glassdoor.com/Reviews/Core-Mark-Reviews-E3671.htm
Benchmark Electronics,BHE,"https://www.glassdoor.com/Overview/Working-at-Benchmark-Electronics-EI_IE1298.11,32.htm",https://www.glassdoor.com/Reviews/Benchmark-Electronics-Reviews-E1298.htm
Terumo,26474,"https://www.glassdoor.com/Overview/Working-at-Terumo-EI_IE9763.11,17.htm",https://www.glassdoor.com/Reviews/Terumo-Reviews-E9763.htm
Alliant Energy,LNT,"https://www.glassdoor.com/Overview/Working-at-Alliant-Energy-EI_IE5828.11,25.htm",https://www.glassdoor.com/Reviews/Alliant-Energy-Reviews-E5828.htm
IBEX Global,IBEX,"https://www.glassdoor.com/Overview/Working-at-IBEX-Global-EI_IE677903.11,22.htm",https://www.glassdoor.com/Reviews/IBEX-Global-Reviews-E677903.htm
OpenText,OTEX,"https://www.glassdoor.com/Overview/Working-at-OpenText-EI_IE5694.11,19.htm",https://www.glassdoor.com/Reviews/OpenText-Reviews-E5694.htm
